# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.016867044703e+03       3.093541037654e-02       1.837801731103e-06       2.627498608163e+00       4.963189458483e-08       2.982748173788e-03      -1.228511848485e-05 
    3       9.631209982405e+02       3.973708813492e-02       3.676302324542e-06       2.946052254243e+00       6.084703228306e-08       2.984169912227e-03      -1.318991440907e-05 
    4       9.121931509245e+02       3.449017119326e-02       6.128709528946e-06       2.755127199892e+00       7.019792935544e-08       2.911624021532e-03      -1.118034577486e-05 
    5       8.740569676084e+02       2.309461337722e-02       9.195916494050e-06       2.347006319239e+00       7.831372157016e-08       2.812605499928e-03      -7.651413124310e-06 
    6       8.479639168950e+02       1.295248947866e-02       1.287900732412e-05       1.890639070993e+00       8.538494121647e-08       2.704178058242e-03      -3.771019583923e-06 
    7       8.310273122064e+02       6.999503803051e-03       1.717923697498e-05       1.484385076012e+00       9.159911316383e-08       2.594299140705e-03      -4.474008547774e-07 
    8       8.212514928229e+02       4.502540977357e-03       2.209800851534e-05       1.171501689337e+00       9.711126581577e-08       2.488019993994e-03       1.772640441461e-06 
    9       8.168506354003e+02       3.612908430802e-03       2.763684842477e-05       9.615916249442e-01       1.020299931650e-07       2.388945601262e-03       2.719717259643e-06 
   10       8.161072583010e+02       3.091134944341e-03       3.379738064854e-05       8.450981917647e-01       1.064290384405e-07       2.297659840411e-03       2.550251964235e-06 
   11       8.186413196320e+02       2.611543505153e-03       4.058130015166e-05       8.023850115257e-01       1.092330321190e-07       2.236063838721e-03       1.649487298911e-06 
   12       8.233091916458e+02       2.284787065994e-03       4.799034671106e-05       8.107375442371e-01       1.127776946383e-07       2.148848059082e-03       4.470736067821e-07 
   13       8.297523486318e+02       2.196324105331e-03       5.602627965592e-05       8.500493496161e-01       1.159497132627e-07       2.073973830146e-03      -6.364781429356e-07 
   14       8.376689586407e+02       2.290832811870e-03       6.469085421336e-05       9.051704123219e-01       1.187913436833e-07       1.997176158102e-03      -1.351520158113e-06 
   15       8.469293318373e+02       2.480328678176e-03       7.398580004147e-05       9.665461224324e-01       1.213380666764e-07       1.927617882402e-03      -1.588752033406e-06 
   16       8.569578624924e+02       2.743408862938e-03       8.391280243791e-05       1.028976602471e+00       1.236201685632e-07       1.861664203068e-03      -1.408363680217e-06 
   17       8.680037792591e+02       3.120520116288e-03       9.447348660324e-05       1.090885597472e+00       1.256637716926e-07       1.798246789706e-03      -9.750448499767e-07 
   18       8.795856090876e+02       3.653184397284e-03       1.056694038904e-04       1.154163084336e+00       1.274435967080e-07       1.738900705424e-03      -4.977656443560e-07 
   19       8.917889015749e+02       4.344649110746e-03       1.175020294627e-04       1.220338176875e+00       1.291231217520e-07       1.684903471965e-03      -1.208328517115e-07 
   20       9.045729152831e+02       5.180635141457e-03       1.299727420326e-04       1.290364821359e+00       1.305681828022e-07       1.632996941898e-03       3.015395508116e-08 
   21       9.179381953245e+02       6.156269242834e-03       1.430828422378e-04       1.364113753587e+00       1.318657080849e-07       1.583057401106e-03      -5.518896517252e-08 
   22       9.316763766682e+02       7.267608980564e-03       1.568335304244e-04       1.440499019134e+00       1.329894390679e-07       1.534037731177e-03      -3.087811632106e-07 
   23       9.458366794832e+02       8.516396430956e-03       1.712259354999e-04       1.516995743715e+00       1.340087300104e-07       1.487355993732e-03      -6.404222529421e-07 
   24       9.603907742597e+02       9.904664438354e-03       1.862610923292e-04       1.590316884530e+00       1.348763444205e-07       1.443811826531e-03      -9.313662598945e-07 
   25       9.753376036174e+02       1.143253636855e-02       2.019399828744e-04       1.658382485357e+00       1.356461196964e-07       1.403326201449e-03      -1.112980910949e-06 
   26       9.905718421248e+02       1.310125613611e-02       2.182635089306e-04       1.719486361947e+00       1.362962704824e-07       1.364363089322e-03      -1.142458701948e-06 
   27       1.006072519931e+03       1.492550493483e-02       2.352325316124e-04       1.772718067399e+00       1.368535850383e-07       1.326949213987e-03      -1.045194144968e-06 
   28       1.021778780646e+03       1.692410184579e-02       2.528478527456e-04       1.817638167917e+00       1.372826068537e-07       1.290992625811e-03      -8.836999085779e-07 
   29       1.037756641402e+03       1.910814958164e-02       2.711102790040e-04       1.854691279048e+00       1.376556553195e-07       1.257116805523e-03      -7.052616216068e-07 
   30       1.054026267831e+03       2.148636209880e-02       2.900205686233e-04       1.884882372158e+00       1.379927008816e-07       1.225413096523e-03      -5.660041055396e-07 
   31       1.070530270059e+03       2.406699062987e-02       3.095794312264e-04       1.909256721815e+00       1.382142933487e-07       1.195154555382e-03      -5.255510494141e-07 
   32       1.087292415529e+03       2.685685300669e-02       3.297876083286e-04       1.927505788411e+00       1.383646544367e-07       1.166257406680e-03      -5.805158209463e-07 
   33       1.104298610733e+03       2.986184001815e-02       3.506458216452e-04       1.938834369436e+00       1.384719484227e-07       1.138239372171e-03      -6.950984209874e-07 
   34       1.121482867015e+03       3.308745251030e-02       3.721547633808e-04       1.942318954893e+00       1.385004432336e-07       1.110186642404e-03      -8.221038416944e-07 
   35       1.138857674509e+03       3.654002584339e-02       3.943151355161e-04       1.936945089388e+00       1.384815535930e-07       1.082594303305e-03      -9.331619939352e-07 
   36       1.156416308933e+03       4.022586747435e-02       4.171276252929e-04       1.921563585659e+00       1.384218475756e-07       1.056252774445e-03      -1.000542436024e-06 
   37       1.174121214434e+03       4.415093866697e-02       4.405928915556e-04       1.895120011667e+00       1.382825668220e-07       1.031704529090e-03      -9.982380980250e-07 
   38       1.192004734801e+03       4.832097194457e-02       4.647115503568e-04       1.857514374428e+00       1.381015184031e-07       1.009111239860e-03      -9.360841445261e-07 
   39       1.210093203961e+03       5.274134485638e-02       4.894841856915e-04       1.809030087791e+00       1.379139517712e-07       9.882096501788e-04      -8.420803571786e-07 
   40       1.228374717503e+03       5.741701400455e-02       5.149113540184e-04       1.750116738275e+00       1.377067966475e-07       9.682424173058e-04      -7.557314946709e-07 
   41       1.246817525741e+03       6.235265258934e-02       5.409935628382e-04       1.681209718193e+00       1.374337084749e-07       9.482449414890e-04      -7.179477769606e-07 
   42       1.265442304968e+03       6.755318181713e-02       5.677311968128e-04       1.602094339668e+00       1.371169030618e-07       9.283016290731e-04      -7.307812171032e-07 
   43       1.284266487636e+03       7.302336702786e-02       5.951245684561e-04       1.512351640539e+00       1.367813740907e-07       9.087444568635e-04      -7.809316277790e-07 
   44       1.303281265018e+03       7.876765266626e-02       6.231739370132e-04       1.411527957115e+00       1.364198435266e-07       8.898063995188e-04      -8.490559340543e-07 
   45       1.322464703693e+03       8.479010857837e-02       6.518794804124e-04       1.299182612704e+00       1.360048549295e-07       8.716273747563e-04      -9.142329461889e-07 
   46       1.341831828974e+03       9.109428690917e-02       6.812412035121e-04       1.175055177732e+00       1.355602161785e-07       8.543343647130e-04      -9.717273960651e-07 
   47       1.361395141593e+03       9.768329560347e-02       7.112590006977e-04       1.038943021357e+00       1.351137212077e-07       8.379558715242e-04      -1.021746567493e-06 
   48       1.381148606425e+03       1.045598151433e-01       7.419326780290e-04       8.906547846567e-01       1.346731742253e-07       8.223731772420e-04      -1.064904027561e-06 
   49       1.401065985233e+03       1.117260805965e-01       7.732619506686e-04       7.300102503415e-01       1.342203236007e-07       8.072964186214e-04      -1.102275588415e-06 
   50       1.421116361057e+03       1.191838448898e-01       8.052464393929e-04       5.568255222962e-01       1.337227165224e-07       7.923745231004e-04      -1.135516118027e-06 
   51       1.441319547243e+03       1.269342985232e-01       8.378856649759e-04       3.708641239322e-01       1.331941661328e-07       7.776395471562e-04      -1.167123710659e-06 
   52       1.461702836613e+03       1.349780970327e-01       8.711790478358e-04       1.718724008236e-01       1.326545352911e-07       7.631972741345e-04      -1.200381807204e-06 
   53       1.482284286460e+03       1.433153594733e-01       9.051259062669e-04      -4.040775136360e-02       1.321107016876e-07       7.490986516546e-04      -1.239382430350e-06 
   54       1.503071860313e+03       1.519456495839e-01       9.397254538253e-04      -2.662397084622e-01       1.315529942891e-07       7.353304236879e-04      -1.289103941797e-06 
   55       1.524067639053e+03       1.608682650468e-01       9.749768574042e-04      -5.058478606540e-01       1.309634765278e-07       7.218505306900e-04      -1.353935888800e-06 
